"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","Pavilion","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",57999,70419,17,4.5,86,15
"HP","Pavilion","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",1,"No","No",57990,70172,17,4.5,4740,532
"HP","Pavilion","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",1,"No","Yes",72990,87717,16,4.7,16,4
"HP","Pavilion","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",64990,69990,7,3.8,8,1
"HP","Pavilion","AMD","Ryzen 7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",0,"ThinNlight","13.3",1,"No","Yes",84190,109566,23,0.0,0,0
"HP","Pavilion","AMD","Ryzen 7","11th",16,"DDR4","256 GB","1024 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",75990,93564,18,4.5,1084,123
"HP","Pavilion","AMD","Ryzen 7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","14",1,"No","Yes",79990,86352,7,3.5,23,6
"HP","Pavilion","AMD","Ryzen 7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",84990,111108,23,2.8,4,2
"HP","Pavilion","AMD","Ryzen 7","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","16",1,"No","No",90990,103215,11,4.6,273,40
"HP","Pavilion","Intel","Core i3","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"Yes","Yes",69267,0,0,0.0,0,0
"HP","Pavilion","Intel","Core i3","11th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"Yes","Yes",53990,63510,14,4.6,14,0
"HP","Pavilion","Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"No","Yes",54990,69267,20,4.5,35,3
"HP","Pavilion","Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"Yes","Yes",55490,65853,15,4.3,143,15
"HP","Pavilion","Intel","Core i3","8th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"Yes","Yes",54238,0,0,4.4,71,8
"HP","Pavilion","Intel","Core i5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",66999,79445,15,4.4,17,1
"HP","Pavilion","Intel","Core i5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",67990,78294,13,4.5,108,6
"HP","Pavilion","Intel","Core i5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",74490,85359,12,4.3,10,0
"HP","Pavilion","Intel","Core i5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","15.6",1,"No","No",78000,89000,12,4.4,512,85
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","256 GB","1024 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",71990,87717,17,4.3,127,20
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",58340,74839,22,4.0,69,6
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",63990,75023,14,4.7,3,0
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",63990,77327,17,4.7,17,1
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",72500,80900,10,4.4,40,3
"HP","Pavilion","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","16",1,"No","Yes",77990,93565,16,0.0,0,0
"HP","Pavilion","Intel","Core i5","8th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"Casual","15.6",1,"No","Yes",64990,68270,4,4.3,23,4
"HP","Pavilion","Intel","Core i5","8th",8,"DDR4","128 GB","0 GB","Windows","64-bit",0,"ThinNlight","13.3",1,"No","No",76012,0,0,4.3,129,16
"HP","Pavilion","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","Yes",99999,102500,2,0.0,0,0
"HP","Pavilion","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",1,"No","Yes",93190,118776,21,5.0,4,0
"HP","Pavilion","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","16",1,"No","Yes",90190,107262,15,4.3,6,1
"HP","Pavilion","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","16",1,"No","Yes",92000,113019,18,4.5,8,1
